country,year,co2_per_capita_tco2e_excl_lulucf,co2_total_mtco2e_excl_lulucf,energy_use_kg_oe_per_capita,gdp_current_usd,population_total,renewable_electricity_pct,renewable_energy_consumption_pct,urban_pop_pct,missing_indicator_count
IDN,1994,1.08216654865227,212.7451,524.021858215958,176892143931.505,196591828.0,15.6567623349819,53.4,34.933,0
IDN,1995,1.19618452241997,239.103,574.757187942779,202132028723.115,199888057.0,16.4633734288417,50.7,36.076,0
IDN,1996,1.24022592272484,252.0193,587.218752078902,227369679374.973,203204348.0,15.6153035319269,49.3,37.235,0
IDN,1997,1.3340878745674,275.5373,595.387791448216,215748998609.635,206536095.0,10.3871627806796,47.6,38.406,0
IDN,1998,1.32613429701836,278.2585,567.577817932084,95445547872.715,209826788.0,16.1234519363082,48.9,39.593,0
IDN,1999,1.38622877504262,295.2732,587.052743287001,140001351215.462,213004668.0,14.8123733489587,45.8,40.792,0
IDN,2000,1.38418807411905,299.0923,585.786495774263,165021012077.81,216077790.0,21.0016394320922,45.6,42.002,0
IDN,2001,1.45863468834129,319.5838,591.12494475388,160446947784.909,219097902.0,21.9326940170265,44.3,42.783,0
IDN,2002,1.46322212683732,324.9648,606.322305750967,195660611165.183,222088495.0,19.4262454143064,44.7,43.568,0
IDN,2003,1.57139226933304,353.6387,597.275615070065,234772463823.808,225048008.0,17.5550392125622,43.0,44.356,0
IDN,2004,1.58017941991504,360.165,634.752388297531,256836875295.452,227926649.0,17.4691460765793,41.5,45.149,0
IDN,2005,1.57060210727476,362.6075,637.329758271386,285868619196.085,230871650.0,17.7843235656204,41.6,45.942,0
IDN,2006,1.63894504151653,383.4339,643.624656628862,364570515618.357,233951652.0,15.9337877239389,40.1,46.738,0
IDN,2007,1.69525705806233,401.8816,628.600516176574,432216737774.861,237062337.0,17.1079767289713,40.0,47.535,0
IDN,2008,1.65423079997496,397.2766,632.507070175417,510228634992.258,240157903.0,17.6652893668886,41.1,48.335,0
IDN,2009,1.69136729151269,411.3744,674.894542379565,539580085612.401,243220028.0,17.123464349956,38.2,49.134,0
IDN,2010,1.80144503739144,443.7055,669.112078931141,755094157621.936,246305322.0,19.5994746504731,36.0,49.914,0
IDN,2011,2.00412047888782,499.968,664.807893671477,892969104563.171,249470032.0,16.0083592484018,32.4,50.595,0
IDN,2012,1.99554706542114,504.2718,680.546536439194,917869913332.649,252698525.0,15.0475301495417,30.1,51.276,0
IDN,2013,1.85645776868745,474.9793,696.192807739943,912524136718.018,255852467.0,15.912612809934,30.6,51.955,0
IDN,2014,1.95132793342072,505.1547,704.653772045539,890814755533.537,258877399.0,14.5086391000202,29.3,52.635,0
